时间,CPU%,内存MB,内存%
10:44:45,12.1,254.8,3.3
10:44:48,11.4,254.8,3.3
10:44:51,10.8,254.8,3.3
10:44:54,10.4,254.8,3.3
10:44:57,10.0,255.0,3.3
10:45:00,9.7,255.0,3.3
10:45:03,9.4,256.0,3.3
10:45:06,9.2,257.2,3.3
10:45:09,10.7,276.3,3.6
10:45:12,13.7,310.2,4.0
10:45:15,14.3,310.8,4.0
10:45:18,15.0,311.6,4.0
10:45:21,14.7,311.0,4.0
10:45:24,14.3,314.9,4.1
10:45:27,13.9,315.1,4.1
10:45:30,13.6,317.5,4.1
10:45:33,13.3,317.5,4.1
10:45:36,13.0,317.5,4.1
10:45:39,12.7,317.5,4.1
10:45:42,12.3,317.5,4.1
10:45:45,12.1,317.5,4.1
10:45:48,11.9,317.5,4.1
10:45:51,11.7,317.5,4.1
10:45:54,11.5,317.8,4.1
10:45:57,11.8,322.6,4.2
10:46:00,12.0,323.9,4.2
10:46:03,12.6,324.0,4.2
10:46:06,12.8,324.3,4.2
10:46:10,13.3,324.8,4.2
10:46:13,13.7,328.7,4.3
10:46:16,14.0,328.9,4.3
10:46:19,14.4,337.5,4.4
10:46:22,15.2,346.5,4.5
10:46:25,15.7,346.3,4.5
10:46:28,15.5,346.3,4.5
10:46:31,15.3,347.8,4.5
10:46:34,15.1,347.8,4.5
10:46:37,14.9,347.8,4.5
10:46:40,14.7,347.8,4.5
10:46:43,14.5,347.8,4.5
10:46:46,14.3,347.8,4.5
10:46:49,14.2,347.8,4.5
10:46:52,14.0,347.8,4.5
10:46:55,13.9,347.8,4.5
10:46:58,13.8,349.2,4.5
10:47:01,14.0,349.4,4.5
10:47:04,13.8,349.4,4.5
10:47:07,13.7,350.0,4.6
10:47:10,13.6,350.0,4.6
10:47:13,13.4,350.0,4.6
10:47:16,13.3,350.0,4.6
10:47:19,13.3,352.6,4.6
10:47:22,13.2,352.9,4.6
10:47:25,13.1,352.9,4.6
10:47:28,12.9,352.8,4.6
10:47:31,12.8,352.8,4.6
10:47:34,12.7,352.8,4.6
10:47:37,12.6,352.8,4.6
10:47:40,12.5,352.8,4.6
10:47:43,12.4,352.8,4.6
10:47:46,12.3,352.8,4.6
10:47:49,12.2,352.8,4.6
10:47:52,12.4,356.8,4.6
10:47:55,12.7,356.4,4.6
10:47:58,12.7,356.0,4.6
10:48:01,12.7,357.4,4.6
10:48:04,12.6,357.4,4.6
10:48:07,12.4,357.4,4.6
10:48:10,12.4,357.4,4.6
10:48:13,12.3,357.4,4.6
10:48:16,12.2,357.4,4.6
10:48:19,12.2,357.6,4.7
10:48:22,12.1,357.6,4.7
10:48:25,12.0,357.6,4.7
10:48:28,12.0,357.6,4.7
10:48:32,11.9,357.6,4.7
10:48:35,11.8,357.6,4.7
10:48:38,11.8,357.6,4.7
10:48:41,11.7,357.6,4.7
